item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel
Delta Sigma Pi Money Clip with Coat of Arms,Delta Sigma Pi money clip with coat of arms surrounded with Greek letters. A classic design with intricate details. Rhodium plated for a brilliant and lasting finish.,0304NK45FLC,A-001-DeltaSigmaPi,20,62,2013-03-03 16:37:07 PST,,y,1,,,11,,,,B00BOD8QSA,,,1,,,B00BOD8QSA,,,0,DEFAULT
Phi Kappa Tau Money Clip,This Phi Kappa Tau money clip with coat of arms is a classic design with intricate details. Rhodium plated for a brilliant and lasting finish. The perfect gift for your big/little bro or even yourself! Comes in a nice gift box!,0522NCEUI0O,A-001-PhiKappaTau,20,8,2013-05-21 17:25:19 PDT,,y,1,,,11,,,,B00CXBHA9S,,,1,,,B00CXBHA9S,,,0,DEFAULT
Tau Kappa Epsilon Money Clip,This Tau Kappa Epsilon money clip with coat of arms is a classic design with intricate details. Rhodium plated for a brilliant and lasting finish. The perfect gift for your big/little bro or even yourself! Comes in a nice gift box!,0522NCEWD5C,A-001-TauKappaEpsilon,25,9,2013-05-21 17:27:50 PDT,,y,1,,,11,,,,B00CXBIYOS,,,1,,,B00CXBIYOS,,,0,DEFAULT
Delta Sigma Pi Money Clip with Greek Letters,"Simple and clean design, with Delta Sigma Pi letters beautifully engraved in the center. Finished in rhodium for a brilliant and lasting shine. An elegant and classy accessory.",0304NK45K5I,A-002-DeltaSigmaPi,15,117,2013-03-03 16:37:08 PST,,y,1,,,11,,,,B00BOD8R20,,,1,,,B00BOD8R20,,,0,DEFAULT
Delta Sigma Pi Circular Cuff Links with Greek Letters,"Custom-made circular Delta Sigma Pi cufflinks. Engraved with greek letters, plated with rhodium and polished to a brilliant shine for an elegant and professional look!",0131OL7340C,A-003-DeltaSigmaPi,25,17,2014-01-31 14:55:44 PST,,y,1,,,11,,,,B00BOD8RBG,,,1,,,B00BOD8RBG,,,0,DEFAULT
Sigma Chi Circular Cuff Links with Greek Letters,"Custom-made circular Sigma Chi cufflinks. Engraved with greek letters, plated with rhodium and polished to a brilliant shine for an elegant and professional look!",0514OGQRAGO,A-003-SigmaChi,20,98,2014-05-14 16:47:37 PDT,,y,1,,,11,,,,B00KC8FXB6,,,1,,,B00KC8FXB6,,,0,DEFAULT
Tau Kappa Epsilon Circular Cuff Links with Greek Letters,"Custom-made circular Tau Kappa Epsilon cufflinks. Engraved with greek letters, plated with rhodium and polished to a brilliant shine for an elegant and professional look!",0514OGQR9CO,A-003-TauKappaEpsilon,20,4,2014-05-14 16:47:36 PDT,,y,1,,,11,,,,B00KC8FWVC,,,1,,,B00KC8FWVC,,,0,DEFAULT
Alpha Kappa Psi Tie Clip,"Simple and timeless design with Alpha Kappa Psi letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Alpha Kappa Psi tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",1001P7VRGOI,A-004-AlphaKappaPsi,20,50,2015-10-01 13:19:19 PDT,,y,1,,,11,,,,B0161VXY68,,,1,,,B0161VXY68,,,0,DEFAULT
Alpha Phi Omega Tie Clip,"Simple and timeless design with Alpha Phi Omega letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Alpha Phi Omega tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0403PZMIUQ0,A-004-AlphaPhiOmega,20,26,2015-04-03 16:54:59 PDT,,y,1,,,11,,,,B00VN63SYU,,,1,,,B00VN63SYU,,,0,DEFAULT
Alpha Psi Lambda Tie Clip,"Simple and timeless design with Alpha Psi Lambda letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Alpha Psi Lambda tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0403PZMT2M6,A-004-AlphaPsiLambda,20,4,2015-04-03 16:58:36 PDT,,y,1,,,11,,,,B00VN6B4KK,,,1,,,B00VN6B4KK,,,0,DEFAULT
"Alpha Sigma Phi Tie Clip with Black Enameled Greek Letters Fraternity, Greek ...","<p>A simple and timeless tie clip design with the Alpha Sigma Phi Fraternity Greek letters in the center finished in bold black enamel, and rhodium plated for a lasting shine. An elegant piece to complete your professional attire. A true gentleman's accessory.</p>  <p>Comes in a nice gift box, making it the perfect gift!</p>",0219QDIRICO,A-004-AlphaSigmaPhi,20,50,2016-02-19 13:59:46 PST,,y,1,,,11,,,,B01BZCFKO2,,,1,,,B01BZCFKO2,,,0,DEFAULT
Alpha Tau Omega Tie Clip,"Simple and timeless design with Alpha Tau Omega letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Alpha Tau Omega tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0510O1F48BU,A-004-AlphaTauOmega,20,7,2014-05-09 17:11:23 PDT,,y,1,,,11,,,,B00IGHUORS,,,1,,,B00IGHUORS,,,0,DEFAULT
Alpha Zeta Omega Tie Clip,"Simple and timeless design with Alpha Zeta Omega letters engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Alpha Zeta Omega tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0506PU8ZF8C,A-004-AlphaZetaOmega,20,30,2015-05-05 18:57:15 PDT,,y,1,,,11,,,,B00X6QV2K2,,,1,,,B00X6QV2K2,,,0,DEFAULT
Beta Theta Pi Tie Clip,"Simple and timeless design with Beta Theta Pi letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Beta Theta Pi tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0404PZNUGAC,A-004-BetaThetaPi,20,16,2015-04-03 17:11:47 PDT,,y,1,,,11,,,,B00VN6S8G8,,,1,,,B00VN6S8G8,,,0,DEFAULT
Delta Chi Tie Clip,"Simple and timeless design with Delta Chi letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Delta Chi tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0506PU8E466,A-004-DeltaChi,20,20,2015-05-05 18:50:21 PDT,,y,1,,,11,,,,B00X6QK94M,,,1,,,B00X6QK94M,,,0,DEFAULT
